id,original_title,title,original_language,overview,release_date,popularity,vote_average,budget,revenue,runtime,genre_names,collection,collection_name,release_year,release_month,release_day
25748,Children of the Corn II: The Final Sacrifice,Children of the Corn II: The Final Sacrifice,en,"arriving gatlin, nebraska, news-reporter son get wind story about youth town murdering parents finds series brutal murders revealed worshipers corn-stalks try stop before carry plans.",1992-01-29,16.22,4.8,900000,6980986,92,Horror,115225.0,Children of the Corn Collection,1992,1,29
18476,Horsemen,Horsemen,en,recently widowed detective still grieving over wife's death discovers shocking connection between himself suspects serial killing spree linked four horsemen apocalypse.,2009-02-06,16.183,5.9,20000000,1017401,90,"Crime, Drama, Horror, Mystery, Thriller",,,2009,2,6
2637,The Mothman Prophecies,The Mothman Prophecies,en,reporter john klein plunged world impossible terror unthinkable chaos fate draws sleepy west virginia town whose residents being visited great winged shape sows hideous nightmares fevered visions.,2002-01-25,16.178,6.2,32000000,55305279,119,"Drama, Horror, Mystery",,,2002,1,25
418078,It Comes at Night,It Comes at Night,en,"secure within desolate home unnatural threat terrorizes world, established tenuous domestic order wife son, soon put test desperate young family arrives seeking refuge.",2017-06-09,16.124,5.8,5000000,19280931,91,"Drama, Horror, Mystery",,,2017,6,9
10008,An American Haunting,An American Haunting,en,based true events only case us history where spirit caused death man.,2005-05-05,16.117,5.6,14000000,29612137,83,"Horror, Mystery, Thriller",,,2005,5,5
11880,Dog Soldiers,Dog Soldiers,en,"squad british soldiers training lonesome scottish wilderness find wounded special forces captain remains team. encounter zoologist megan, turns werewolves active region. prepare some action there full moon tonight...",2002-05-10,16.107,6.7,2000000,3537283,105,"Action, Horror, Thriller",,,2002,5,10
15301,Twilight Zone: The Movie,Twilight Zone: The Movie,en,"anthology film, presenting remakes four episodes popular television series ""the twilight zone,"" featuring segments ""time out,"" ""kick can,"" ""it's good life"" ""nightmare 20,000 feet.""",1983-06-24,16.087,6.5,10000000,29450919,101,"Action, Fantasy, Horror, Science Fiction, Thriller",,,1983,6,24
146203,The Last Exorcism Part II,The Last Exorcism Part II,en,"nell sweetzer tries build new life events first movie, evil force once possessed returns even more horrific plan.",2013-02-28,16.057,4.7,5000000,15179302,88,"Horror, Thriller",177675.0,The Last Exorcism Collection,2013,2,28
372343,The Snowman,The Snowman,en,detective harry hole investigates disappearance whose pink scarf found wrapped around ominous looking snowman.,2017-10-12,16.053,5.2,35000000,43203413,119,"Crime, Horror, Thriller",,,2017,10,12
446101,Assassination Nation,Assassination Nation,en,"high school senior lily friends, bex, em sarah live haze texts, posts, selfies chats just like rest world. so, anonymous hacker starts posting details private lives everyone small town, result absolute madness leaving lily friends questioning whether they'll live through night.",2018-09-21,16.04,6.3,7000000,2900000,108,"Comedy, Horror, Thriller",,,2018,9,21
11850,Invasion of the Body Snatchers,Invasion of the Body Snatchers,en,"matthew bennell notices several friends complaining close relatives some way different. questioned later themselves seem changed, deny everything or make lame excuses. invaders increase number become more open bennell, now witnessed attempted 'replacement', realises friends must escape or suffer same fate.",1978-12-19,16.022,7.2,3500000,24946533,116,"Horror, Mystery, Science Fiction",,,1978,12,19
10395,Wolf,Wolf,en,publisher randall becomes werewolf fight keep job.,1994-06-17,16.018,6.1,70000000,131002597,125,"Drama, Fantasy, Horror",,,1994,6,17
10576,Psycho II,Psycho II,en,"years treatment mental institution criminally insane, serial killer norman bates finally released. deciding move back long-dead mother's infamous old house, soon finds himself tormented 'her' demands begins question own sanity.",1983-06-03,16.001,6.4,5000000,34725000,113,"Horror, Mystery, Thriller",119674.0,Psycho Collection,1983,6,3
8408,Day of the Dead,Day of the Dead,en,"trapped missile silo, small team scientists, civilians, trigger-happy soldiers battle desperately ensure survival human race. however, tension inside base reaching breaking point, zombies gathering outside.",1985-07-03,15.962,7.0,3500000,34000000,101,"Drama, Horror, Mystery, Thriller",261590.0,Living Dead Collection,1985,7,3
